,Subject,Content
1694,Re: Funeral of Pres. Aquino - Potential Presidential Delegation,Family has asked for there not to be a state funeral Suggestion is that we send a representative and that our ambassador might be best choice
1695,Re: Calls,Told jim and team and will relay message to feingold
1696,Fw: Honduras,Fyi
1697,Re: Lavrov,Continuing various other channels including jcs
1698,Karzai call?,What if anything was decided about whether I should call him The email traffic I read has saying yes and Frank R disagreeing Can you update pls
1699,Re: #s,No it s only an internal assessment from someone in the Iran Watch Office Kay added me to their updates so I m seeing their internal chit chat I have to admit I don t understand statistics enough to gauge it s accuracy but they are trying to prove the accusation of egregious fraud The only other s are actual vote tallies coming from the Iranian Interior Ministry showing Mousavi winning by far but the s are unconfirmed Since it s after am in Tehran most of the reporting now is focusing on tumult Nothing is coming from State publicly aside from what you said this afternoon
1700,RE: Speech,Yes
1701,Re: Cornwall port of entry,Tom and I started working to confirm this afternoon I ve talked to and once we know for sure we ll pass along
1702,RE: Speech,I emailed it to you a few minutes ago Do you want me to fax it as well
1703,RE: Speech,Faxing to you now
1704,fax issues,You should have received two faxes stacked together accidentally The one you want says pm on the top left I am sending the remaining pages about now The one that says pm is the wrong version so ignore it
